artists,type,sex,album_name,artists,won,num_of_tracks,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Jay-Z,Person,Male,4:44,Jay-Z,False,10,0.6019,0.7475999999999999,5.5,-6.4276,0.7,0.3445,0.2949,4.720999999999999e-06,0.26661999999999997,0.5576,118.43100000000001,217223.9
Lorde,Person,Female,Melodrama,Lorde,False,11,0.5894545454545455,0.4138181818181818,4.090909090909091,-9.37109090909091,0.6363636363636364,0.0795,0.3358281818181818,0.0020061263636363636,0.11390909090909092,0.2749090909090909,102.87536363636364,223867.45454545456
Kacey Musgraves,Person,Female,Golden Hour,Kacey Musgraves,True,13,0.6136923076923076,0.5343846153846153,5.769230769230769,-7.148846153846154,0.7692307692307693,0.036199999999999996,0.41243846153846153,0.0013826315384615382,0.1094923076923077,0.4596153846153846,108.53146153846154,211413.38461538462
Post Malone,Person,Male,Beerbongs & Bentleys,Post Malone,False,18,0.6537222222222222,0.6317222222222222,5.277777777777778,-5.650555555555556,0.5,0.07289444444444444,0.3476666666666666,0.034618418333333324,0.15215555555555554,0.3435555555555556,136.3707777777778,214114.22222222222
Various Artists,Group,Mixed,Black Panther The Album Music From And Inspired By,Various Artists,False,14,0.6852142857142857,0.6192142857142857,4.642857142857143,-7.252571428571428,0.7142857142857143,0.21603571428571433,0.18514357142857146,0.0019857178571428572,0.17894285714285715,0.42271428571428565,121.264,211326.7142857143
Brandi Carlile,Person,Female,"By the Way, I Forgive You",Brandi Carlile,False,10,0.44509999999999994,0.5972000000000001,7.0,-5.876600000000001,1.0,0.04384,0.41339900000000007,0.000729638,0.13389,0.3574,111.56980000000001,260529.2
Janelle Monae,Person,Non-binary,Dirty Computer,Janelle Monáe,False,14,0.6399285714285715,0.4619285714285715,5.785714285714286,-9.782714285714286,0.8571428571428571,0.08665714285714285,0.2762457142857143,0.06890337071428572,0.27395714285714284,0.30496428571428563,108.68414285714286,208823.42857142858
H.E.R.,Person,Female,H.E.R.,H.E.R.,False,21,0.5268095238095237,0.40495238095238095,4.857142857142857,-11.087904761904761,0.14285714285714285,0.12610000000000002,0.46180999999999994,0.012593806190476191,0.11641428571428573,0.2622761904761905,110.93852380952383,205766.2857142857
Cardi B,Person,Female,Invasion of Privacy,Cardi B,False,13,0.8443076923076922,0.6135384615384616,6.076923076923077,-6.84376923076923,0.5384615384615384,0.23815384615384613,0.10736230769230769,0.00010742076923076924,0.16876923076923073,0.4626153846153845,134.70730769230772,222941.76923076922
Drake,Person,Male,Scorpion,Drake,False,25,0.7081200000000001,0.51176,5.0,-8.71164,0.64,0.20657599999999998,0.19432159999999998,0.0033822944,0.184372,0.322944,121.66384,217055.96
Billie Eilish,Person,Female,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,True,14,0.5837857142857142,0.2817214285714286,5.0,-15.085071428571428,0.7142857142857143,0.19308571428571425,0.6568571428571428,0.12069271999999999,0.23930714285714286,0.28800714285714285,105.49428571428571,183947.64285714287
Lizzo,Person,Female,Cuz I Love You,Lizzo,False,11,0.7068181818181818,0.7315454545454546,4.545454545454546,-4.324363636363636,0.8181818181818182,0.12988181818181818,0.05154272727272727,0.00018640181818181816,0.30429090909090906,0.6317272727272726,127.84654545454545,181661.18181818182
Vampire Weekend,Group,Male,Father of the Bride,Vampire Weekend,False,18,0.6423888888888888,0.5041666666666668,7.166666666666667,-7.761888888888889,0.8888888888888888,0.06218888888888888,0.5229777777777778,0.01605769388888889,0.1689166666666667,0.5277777777777778,118.15022222222223,193442.94444444444
